Type,Price psft
1 ROOM,743.2270438743707
2 ROOM,912.1429023880407
3 ROOM,1104.6780533123706
4 ROOM,1236.571770283835
5 ROOM,1151.0128913443832
Apartment,5808.259034669509
Condominium,5800.422617312737
Detached,3432.3764630504675
EXECUTIVE,787.7673350174671
Executive Condominium,1438.5019579637178
MULTI-GENERATION,599.5330083798364
Semi-detached,3864.5075986974566
Strata Detached,1331.7162493163064
Strata Semi-detached,1116.5626332248232
Strata Terrace,2615.3383740402296
Terrace,3811.798983931801
